Distance;Current_Velocity;Target_Velocity;Move;Value;Times
10;40;-160;ROLL_RIGHT;10,1841861680867;9
10;40;-160;NO_ACTION;-17,8426641381028;2
10;60;-160;ROLL_LEFT;-26,3013580221521;3
10;60;-160;ROLL_RIGHT;10,1605071925874;13
10;60;-160;NO_ACTION;-18,4396844283041;2
11;40;-160;ROLL_LEFT;-10,0285001495033;1
11;40;-160;ROLL_RIGHT;23,2944370650691;32
11;40;-160;NO_ACTION;-19,0940811929042;2
12;40;-160;ROLL_LEFT;14,094649700356;4
12;40;-160;ROLL_RIGHT;11,389472430436;6
12;40;-160;NO_ACTION;42,89360836633;22
12;60;-160;ROLL_LEFT;0,744672279969561;6
12;60;-160;ROLL_RIGHT;22,2748328316876;21
12;60;-160;NO_ACTION;1,81967167487685;8
13;60;-160;ROLL_LEFT;18,4618105238179;7
13;60;-160;ROLL_RIGHT;43,3741903930639;30
13;60;-160;NO_ACTION;9,96048856149451;4
14;60;-160;ROLL_LEFT;92,4439632786888;73
14;60;-160;ROLL_RIGHT;-38,4882748850209;16
14;60;-160;NO_ACTION;-25,4235933403962;6
15;80;-160;ROLL_LEFT;54,8089740550192;28
15;80;-160;ROLL_RIGHT;-16,4855862676131;2
15;80;-160;NO_ACTION;-31,7674542253145;4
16;80;-160;ROLL_LEFT;20,6249327036193;11
16;80;-160;ROLL_RIGHT;-17,5427234503499;2
16;80;-160;NO_ACTION;-31,309940480244;4
17;60;-160;ROLL_LEFT;73,1367298163669;51
17;60;-160;ROLL_RIGHT;-36,6636181640085;6
17;60;-160;NO_ACTION;-34,4535457821091;5
18;60;-160;ROLL_LEFT;46,6793397317406;26
18;60;-160;ROLL_RIGHT;-34,7278003334308;5
18;60;-160;NO_ACTION;-14,772647576783;2
20;40;-160;ROLL_LEFT;26,4849638334678;17
20;40;-160;ROLL_RIGHT;-17,5534161494702;2
20;40;-160;NO_ACTION;-22,6511203697025;3
22;60;-160;ROLL_LEFT;7,53892905289403;8
22;60;-160;ROLL_RIGHT;-9,46490023118471;1
22;60;-160;NO_ACTION;-9,85581395856516;1
25;60;-160;ROLL_LEFT;5,49428682645273;6
25;60;-160;ROLL_RIGHT;-10,0000001490116;1
25;60;-160;NO_ACTION;-10,0000001490116;1
25;-100;-160;ROLL_LEFT;0;0
25;-100;-160;ROLL_RIGHT;0;0
25;-100;-160;NO_ACTION;-0,300000004470348;1
23;-100;-160;ROLL_LEFT;0;0
23;-100;-160;ROLL_RIGHT;0;0
23;-100;-160;NO_ACTION;-0,300000004470348;1
22;-100;-160;ROLL_LEFT;0;0
22;-100;-160;ROLL_RIGHT;0;0
22;-100;-160;NO_ACTION;-0,300000004470348;1
21;-100;-160;ROLL_LEFT;-0,300000004470348;1
21;-100;-160;ROLL_RIGHT;0;0
21;-100;-160;NO_ACTION;-0,300000004470348;1
19;-100;-160;ROLL_LEFT;-0,300000004470348;1
19;-100;-160;ROLL_RIGHT;-0,328500004962087;1
19;-100;-160;NO_ACTION;-0,300000004470348;1
18;-100;-160;ROLL_LEFT;-0,300000004470348;1
18;-100;-160;ROLL_RIGHT;0;0
18;-100;-160;NO_ACTION;-0,300000004470348;1
17;-120;-160;ROLL_LEFT;0;0
17;-120;-160;ROLL_RIGHT;-0,300000004470348;1
17;-120;-160;NO_ACTION;0;0
15;-100;-160;ROLL_LEFT;-0,570000001341104;2
15;-100;-160;ROLL_RIGHT;-0,328500004962087;1
15;-100;-160;NO_ACTION;-0,598500001832843;2
14;-100;-160;ROLL_LEFT;-0,570000001341104;2
14;-100;-160;ROLL_RIGHT;-0,300000004470348;1
14;-100;-160;NO_ACTION;-0,570000001341104;2
12;-120;-160;ROLL_LEFT;-0,300000004470348;1
12;-120;-160;ROLL_RIGHT;0;0
12;-120;-160;NO_ACTION;-0,300000004470348;1
11;-140;-160;ROLL_LEFT;0;0
11;-140;-160;ROLL_RIGHT;0;0
11;-140;-160;NO_ACTION;-0,300000004470348;1
9;-140;-160;ROLL_LEFT;0;0
9;-140;-160;ROLL_RIGHT;-0,300000004470348;1
9;-140;-160;NO_ACTION;0;0
7;-140;-160;ROLL_LEFT;0,0974799980106948;1
7;-140;-160;ROLL_RIGHT;0;0
7;-140;-160;NO_ACTION;-0,300000004470348;1
5;-120;-160;ROLL_LEFT;-0,300000004470348;1
5;-120;-160;ROLL_RIGHT;0;0
5;-120;-160;NO_ACTION;-0,328500004962087;1
2;-140;-160;ROLL_LEFT;-0,896412921353832;3
2;-140;-160;ROLL_RIGHT;-0,328500004962087;1
2;-140;-160;NO_ACTION;-0,598500001832842;2
0;140;160;ROLL_LEFT;-0,703030837085142;3
0;140;160;ROLL_RIGHT;-0,474999999701976;2
0;140;160;NO_ACTION;-0,570000001341104;2
4;140;160;ROLL_LEFT;2,92157364603311;3
4;140;160;ROLL_RIGHT;0;0
4;140;160;NO_ACTION;-10,0000001490116;1
6;120;160;ROLL_LEFT;2,22709128326705;2
6;120;160;ROLL_RIGHT;-10,0000001490116;1
6;120;160;NO_ACTION;0;0
8;120;160;ROLL_LEFT;1,90000000447035;2
8;120;160;ROLL_RIGHT;-9,89418290558939;1
8;120;160;NO_ACTION;-9,90500014737249;1
9;140;160;ROLL_LEFT;1,00000001490116;1
9;140;160;ROLL_RIGHT;0;0
9;140;160;NO_ACTION;0;0
11;140;160;ROLL_LEFT;2,07872769369027;2
11;140;160;ROLL_RIGHT;0;0
11;140;160;NO_ACTION;-9,89597514719553;1
13;120;160;ROLL_LEFT;2,09038238051549;2
13;120;160;ROLL_RIGHT;0;0
13;120;160;NO_ACTION;0;0
14;120;160;ROLL_LEFT;1,00000001490116;1
14;120;160;ROLL_RIGHT;-10,0000001490116;1
14;120;160;NO_ACTION;0;0
16;100;160;ROLL_LEFT;1,00000001490116;1
